response_num,"For the packages that you have used, how do you rate your level of proficiency? [HoloViews]","For the packages that you have used, how do you rate your level of proficiency? [Panel]","For the packages that you have used, how do you rate your level of proficiency? [GeoViews]","For the packages that you have used, how do you rate your level of proficiency? [Datashader]","For the packages that you have used, how do you rate your level of proficiency? [hvPlot]","For the packages that you have used, how do you rate your level of proficiency? [Colorcet]","For the packages that you have used, how do you rate your level of proficiency? [Param]","For the packages that you have used, how do you rate your level of proficiency? [Lumen]","How did you hear about this survey?
[select all that apply]",What field do you work in?,"What is your subfield (for example ""Geosciences"")?",What title best characterizes your role when using HoloViz tools?,"On what type of systems do you work?
[select all that apply]","What potential changes to our documentation do you think would most improve the new user experience? Here are some suggestions, but feel free to write-in your own.
[select all that apply]","What kinds of data do you commonly use?
[select all that apply]","What file formats do you work with?
[select all that apply]","Where are your datasets stored?
[select all that apply]","How large are your datasets?
[select all that apply]","What do you typically do with data?
[select all that apply]",What was the first HoloViz Tool that you used?,For how long have you used HoloViz tools?,"What data library/structure do you commonly use with HoloViz?
[select all that apply]","What other packages do you use alongside HoloViz tools?
[select all that apply]","What notebook environment do you use when working with HoloViz tools?
[select all that apply]","How do you share your HoloViz work with others?
[select all that apply]","If you share live, running Python apps, what frameworks and platforms do you use?
[select all that apply]",How was your documentation experience when you were a new HoloViz user?,"For the documentation sites that you have used, rate the overall content effectiveness. [HoloViews]","For the documentation sites that you have used, rate the overall content effectiveness. [Panel]","For the documentation sites that you have used, rate the overall content effectiveness. [GeoViews]","For the documentation sites that you have used, rate the overall content effectiveness. [Datashader]","For the documentation sites that you have used, rate the overall content effectiveness. [hvPlot]","For the documentation sites that you have used, rate the overall content effectiveness. [Colorcet]","For the documentation sites that you have used, rate the overall content effectiveness. [Param]","For the documentation sites that you have used, rate the overall content effectiveness. [Lumen]",How important is improving the visual design of this package's documentation site to your experience?,"Have you checked out the tutorial on HoloViz.org? If so, in what forms have you experience it?",Which specific HoloViz package have you used the most?,"For the package that you selected, rank the type of documentation that we should focus on improving to help you most right now? [Beginner tutorials]","For the package that you selected, improvement to what documentation topics would you most benefit from?","For hvPlot, how often do you use each API? [.hvPlot]","For the package that you selected, rank the type of documentation that we should focus on improving to help you most right now? [Advanced tutorials]","For the package that you selected, rank the type of documentation that we should focus on improving to help you most right now? [‘How-to’ recipes for specific tasks]","For the package that you selected, rank the type of documentation that we should focus on improving to help you most right now? [Reference API]","For the package that you selected, rank the type of documentation that we should focus on improving to help you most right now? [Explanation of concepts and design]","For the package that you selected, rank the type of documentation that we should focus on improving to help you most right now? [Domain examples]","For hvPlot, rank the type of documentation that we should focus on improving to help you most right now? [Beginner tutorials]","For hvPlot, rank the type of documentation that we should focus on improving to help you most right now? [Advanced tutorials]","For hvPlot, rank the type of documentation that we should focus on improving to help you most right now? [‘How-to’ recipes for specific tasks]","For hvPlot, rank the type of documentation that we should focus on improving to help you most right now? [Reference API]","For hvPlot, rank the type of documentation that we should focus on improving to help you most right now? [Explanation of concepts and design]","For hvPlot, rank the type of documentation that we should focus on improving to help you most right now? [Domain examples]","For hvPlot, improvement to which documentation topics would you most benefit from?
[select all that apply]","For hvPlot, how often do you use each API? [.interactive]","For hvPlot, how often do you use each API? [.explorer]","If you have used both hvPlot and HoloViews, which do you prefer for data exploration?","What resources have you used for debugging your HoloViz issues?
[select all that apply]","For Panel, rank the type of documentation that we should focus on improving to help you most right now? [Beginner tutorials]","For Panel, rank the type of documentation that we should focus on improving to help you most right now? [Advanced tutorials]","For Panel, rank the type of documentation that we should focus on improving to help you most right now? [‘How-to’ recipes for specific tasks]","For Panel, rank the type of documentation that we should focus on improving to help you most right now? [Reference API]","For Panel, rank the type of documentation that we should focus on improving to help you most right now? [Explanation of concepts and design]","For Panel, rank the type of documentation that we should focus on improving to help you most right now? [Domain examples]","For Panel, improvement to which specific documentation topics would you most benefit from?
[select all that apply]","For Panel, how often do you use each API? [Reactive functions (panel.bind or @panel.depends)]","For Panel, how often do you use each API? [Interactive functions (panel.interact)]","For Panel, how often do you use each API? [Parameterized Classes (@param.depends)]","For Panel, how often do you use each API? [Callbacks (param.watch)]","For HoloViews, rank the type of documentation that we should focus on improving to help you most right now? [Beginner tutorials]","For HoloViews, rank the type of documentation that we should focus on improving to help you most right now? [Advanced tutorials]","For HoloViews, rank the type of documentation that we should focus on improving to help you most right now? [‘How-to’ recipes for specific tasks]","For HoloViews, rank the type of documentation that we should focus on improving to help you most right now? [Reference API]","For HoloViews, rank the type of documentation that we should focus on improving to help you most right now? [Explanation of concepts and design]","For HoloViews, rank the type of documentation that we should focus on improving to help you most right now? [Domain examples]","For HoloViews, improvement to which documentation topics would you most benefit from?
[select all that apply]","If you have used both hvPlot and HoloViews, which do you prefer for data exploration?.1","If you have asked a question or posted something online about HoloViz (for example, on our Discourse, Stack Overflow, or GitHub), how satisfied or dissatisfied were you with responsiveness?","What development activities would help you most right now? 
[select all that apply]",Is there anything else we can do to make your experience better?,How likely are you to recommend HoloViz to a friend or colleague? ,Would it be ok for us to follow up with you about your responses?,"What plotting backend do you use with hvPlot? Reminder: a plotting backend is the package that hvPlot uses to generate a plot, and the default is Bokeh.
[select all that apply]","What plotting packages do you use with Panel?
[select all that apply]","What plotting backend do you use with HoloViews? Reminder: a plotting backend is the package that HoloViews uses to generate a plot.
[select all that apply]","When using Python packages, do you benefit if a package has used type hints and declarations in their code?","Where do you write Python scripts when working with HoloViz tools?
[select all that apply]",How important is improving the visual design of the hvPlot documentation site to your experience?,How important is improving the visual design of the Panel documentation site to your experience?,How important is improving the visual design of the HoloView documentation site to your experience?
0,2,2,,,2,,2,,,Academic Research,Medical Physics,Research Scientist,Personal laptop,"Create a guide on choosing the most appropriate package to work with, Create examples of when and how to switch between different packages, Improve the reference API material with examples and type declarations","N Dimensional (Xarray, NumPy, etc.)",HDF5,Local filesystem,MBs,"Analyze and explore data, Build and share interactive visualizations/dashboards, Create visualizations for publication",HoloViews,6 months - 1 year,"NumPy, Pandas, Xarray","Bokeh, NumPy, Pandas, SciPy, Xarray",I don't use notebooks,,Google Colab,2.0,2,3,,,,,4,,,,HoloViews,,,,,,,,,,,,,,,,,,,"GitHub Issues, HoloViz Discourse, HoloViz Documentation, Stack Overflow",,,,,,,,,,,,4,5,7 - Highest Priority,2,6,3,"Applying customizations using the options system, Custom interactivity, Dynamic generation of data and elements (DynamicMaps), Element containers (Layout, Overlay, HoloMap, etc), Multi-dimensional array data",,,Better documentation,,9.0,No thanks,,,Bokeh,No,VS Code,,,1.0
1,5 - Advanced,5 - Advanced,1 - Beginner,3,5 - Advanced,1 - Beginner,3,1 - Beginner,Word of mouth,Manufacturing,Data engineer,Software Engineer/Developer,"Cloud, Personal laptop","Create a short tutorial for each individual package, Improve the reference API material with examples and type declarations","N Dimensional (Xarray, NumPy, etc.), Streaming, Tabular/Columnar (Pandas, etc.)","CSV, JSON, Parquet","Local filesystem, SQL database",GBs,"Analyze and explore data, Build and deploy models, Build and share interactive visualizations/dashboards, Create visualizations for publication, Gather and clean data, Report statistical results",HoloViews,1 - 3 years,"Dask.DataFrame, NumPy, Pandas, Streamz, Xarray","Bokeh, Dask, Intake, NumPy, Pandas, Plotly, PyTorch, SciPy, scikit-learn, Streamz, Xarray","Jupyter Lab, VS Code Notebook","Externally hosted apps, Internally hosted apps","Anaconda Enterprise, Google Cloud Platform",5.0,5 - Very Effective,4,3,3,5 - Very Effective,3,4,2,,"I downloaded the tutorial notebooks and ran them locally, I read through the tutorial on HoloViz.org",Panel,,,,,,,,,,,,,,,,,,,"GitHub Issues, HoloViz Discourse, HoloViz Documentation",2,7 - Highest Priority,6,5,4,3,"Custom styling, Custom layout, Deploying or exporting",5 - All the time,1 - Never,5 - All the time,2,,,,,,,,,Very satisfied,"More examples in my domain, New features",,10.0,Yes,,"Bokeh, DeckGL, ECharts, Plotly",,Yes,VS Code,,1.0,
2,1 - Beginner,2,1 - Beginner,1 - Beginner,1 - Beginner,1 - Beginner,1 - Beginner,1 - Beginner,HoloViz discourse,Technology,Chemical Engineering ,Machine Learning Engineer,"Desktop workstation, Personal laptop","Create examples of when and how to switch between different packages, Improve the reference API material with examples and type declarations, Redesign the appearance and story of homepages","Tabular/Columnar (Pandas, etc.)",CSV,"Local filesystem, Network filesystem, Python Pickle",MBs,"Analyze and explore data, Build and deploy models, Build and share interactive visualizations/dashboards, Gather and clean data",Panel,1 - 3 years,Pandas,"NumPy, Pandas, Plotly, SciPy, scikit-learn",I don't use notebooks,Internally hosted apps,Nginx,2.0,1 - Not Effective,2,1 - Not Effective,1 - Not Effective,1 - Not Effective,1 - Not Effective,1 - Not Effective,1 - Not Effective,,,Panel,,,,,,,,,,,,,,,,,,,"GitHub Issues, HoloViz Discourse",7 - Highest Priority,6,5,4,3,2,"Authentication, Custom styling",2,2,2,2,,,,,,,,,Somewhat satisfied,"Better documentation, Bug fixes, Performance improvements",,8.0,No thanks,,"Bokeh, Plotly",,Yes,Notepad++,,5.0,
3,3,3,,2,1 - Beginner,,1 - Beginner,,Twitter,Chemistry ,Polymers,Data Scientist,"Cloud, HPC system, Personal laptop","Create a guide on choosing the most appropriate package to work with, Create examples of when and how to switch between different packages","N Dimensional (Xarray, NumPy, etc.), Tabular/Columnar (Pandas, etc.)","CSV, JSON, Parquet","Blob / Object Storage, Local filesystem, Network filesystem, SQL database",GBs,"Analyze and explore data, Build and deploy models, Build and share interactive visualizations/dashboards, Create visualizations for publication, Gather and clean data, Report statistical results",HoloViews,6 months - 1 year,"NumPy, Pandas","Bokeh, Matplotlib, NumPy, Pandas, Plotly, PyTorch, SciPy, scikit-learn",Jupyter Lab,"Internally hosted apps, Screenshot images","Amazon Web Services, Flask",4.0,3,4,,4,3,,3,,,"I downloaded the tutorial notebooks and ran them locally, I read through the tutorial on HoloViz.org, I watched a guided talk through the tutorial",Panel,,,,,,,,,,,,,,,,,,,"GitHub Issues, Stack Overflow",,4,3,,1 - Lowest priority,2,"Authentication, Building custom components, Composing templates, Custom styling",2,2,1 - Never,2,,,,,,,,,Very satisfied,"Better documentation, New features",,9.0,Yes,,"Bokeh, Matplotlib",,Yes,VS Code,,1.0,
4,2,3,1 - Beginner,1 - Beginner,3,1 - Beginner,3,1 - Beginner,Twitter,Technology,finance,Applied Scientist,"Cloud, Desktop workstation, Personal laptop","Create a guide on choosing the most appropriate package to work with, Create examples of when and how to switch between different packages","Streaming, Tabular/Columnar (Pandas, etc.)","CSV, HDF5, JSON","HDFS, Network filesystem, SQL database",GBs,"Analyze and explore data, Build and deploy models, Gather and clean data, Report statistical results",hvPlot,Less than 6 months,"Dask.DataFrame, Pandas, Streamz","Bokeh, GeoPandas, Matplotlib, NetworkX, NumPy, Pandas, Plotly, PyTorch, scikit-learn, statsmodels, Streamz, https://modin.org/","Jupyter Lab, VS Code Notebook","Internally hosted apps, Screenshot images",,3.0,4,4,3,3,5 - Very Effective,3,4,3,,"I downloaded the tutorial notebooks and ran them locally, I read through the tutorial on HoloViz.org",Panel,,,,,,,,,,,,,,,,,,,"GitHub Issues, HoloViz Documentation",6,5,4,1 - Lowest priority,7 - Highest Priority,3,"Composing templates, App responsivity, Working with other HoloViz packages",2,2,5 - All the time,2,,,,,,,,,,"Better documentation, Performance improvements",,10.0,No thanks,,"Bokeh, ECharts, Matplotlib, Plotly",,Yes,VS Code,,2.0,
5,3,3,1 - Beginner,1 - Beginner,2,2,4,1 - Beginner,Twitter,Consulting,Scientific Computing,Professor/Instructor,"Cloud, Desktop workstation, Personal laptop","Create a guide on choosing the most appropriate package to work with, Create examples of when and how to switch between different packages","Tabular/Columnar (Pandas, etc.)","CSV, JSON","Local filesystem, Network filesystem, SQL database","KBs, MBs, GBs","Analyze and explore data, Build and share interactive visualizations/dashboards, Create visualizations for publication, Gather and clean data, Report statistical results",HoloViews,6 months - 1 year,"NumPy, Pandas","Bokeh, Matplotlib, NumPy, Pandas, SciPy, statsmodels","Jupyter Notebook, Jupyter Lab","Exported HTML, Internally hosted apps, Entire notebooks",,2.0,3,3,,4,3,3,,,,,Panel,,,,,,,,,,,,,,,,,,,"GitHub Issues, Stack Overflow",2,7 - Highest Priority,4,5,,3,"Building custom components, Comparing APIs, Composing templates, Custom styling, Custom layout, Deploying or exporting, Working with other HoloViz packages",4,2,4,3,,,,,,,,,Neither satisfied nor dissatisfied,Better documentation,Keep up the amazing work you have already been doing .Thank you for all of the effort and time you all put into this ecosystem.,8.0,No thanks,,"Bokeh, Matplotlib",,,"Vim, VS Code",,3.0,
6,3,4,1 - Beginner,1 - Beginner,2,4,4,2,Twitter,Academic Research,biophysics,Research Scientist,"Desktop workstation, Personal laptop","Create examples of when and how to switch between different packages, To be honest, all documentation has changed improved a lot since I started out with panel / holviz so I have some reading to do. But I always struggle with the many different options of doing somthing, and figuring out which way should be used and what happens under the hood","Tabular/Columnar (Pandas, etc.)","CSV, HDF5","Local filesystem, Network filesystem","MBs, GBs","Analyze and explore data, Build and deploy models, Build and share interactive visualizations/dashboards, Create visualizations for publication, Gather and clean data",Panel,1 - 3 years,"Pandas, Streamz","Bokeh, Dask, Matplotlib, NumPy, PyTorch, proplot","Jupyter Notebook, PyCharm Notebook, Has issues with jupyter lab and holoviz lately but will try newer versions","Externally hosted apps, Entire notebooks, Screenshot images",Lab computer the IT department can't find out about,3.0,2,4,,,,4,4,2,,No didnt know this existed,Panel,,,,,,,,,,,,,,,,,,,"GitHub Issues, HoloViz Discourse",,,5,4,7 - Highest Priority,,"Building custom components, Comparing APIs, Debugging, App responsivity",2,1 - Never,5 - All the time,3,,,,,,,,,Very satisfied,"Better documentation, New features",,9.0,Yes,,Bokeh,,Yes,PyCharm,,3.0,
7,2,2,,2,3,,,,Twitter,Energy,Wind Energy,Domain Engineer,Personal laptop,"Create a short tutorial for each individual package, Improve the reference API material with examples and type declarations","Tabular/Columnar (Pandas, etc.)",CSV,"Local filesystem, Python Pickle, SQL database","MBs, GBs, TBs","Analyze and explore data, Build and share interactive visualizations/dashboards, Create visualizations for publication, Report statistical results",hvPlot,6 months - 1 year,"NumPy, Pandas","Bokeh, Plotly",VS Code Notebook,Entire notebooks,,2.0,2,3,,,2,,,,,I downloaded the tutorial notebooks and ran them locally,hvPlot,,,4,,,,,,3,7 - Highest priority,4,6,1 - Lowest priority,2,"Creating subplots, Custom styling, Layouts, Plotting with different backends, Timeseries data, Using widgets, Working with other HoloViz packages",1 - Never,1 - Never,hvPlot,"HoloViz Discourse, HoloViz Documentation",,,,,,,,,,,,,,,,,,,,Somewhat satisfied,"Better documentation, New features, Performance improvements",,7.0,Yes,"Bokeh, Plotly",,,Yes,VS Code,5.0,,
8,3,4,1 - Beginner,2,4,2,3,1 - Beginner,Twitter,Consulting,Automotive,Software Engineer/Developer,"Desktop workstation, Personal laptop","Create examples of when and how to switch between different packages, Improve the reference API material with examples and type declarations, Redesign the appearance and story of homepages","Tabular/Columnar (Pandas, etc.)","CSV, JSON, .xlsx","Local filesystem, Network filesystem, SQL database","MBs, GBs","Analyze and explore data, Build and share interactive visualizations/dashboards, Gather and clean data, Report statistical results",Panel,1 - 3 years,"NumPy, Pandas","Intake, NumPy, Pandas, Plotly, scikit-learn, statsmodels","Jupyter Lab, VS Code Notebook, PyCharm Notebook","Exported images, Internally hosted apps","Flask, Nginx",2.0,4,4,,3,4,,4,,,"I downloaded the tutorial notebooks and ran them locally, I read through the tutorial on HoloViz.org, I watched a guided talk through the tutorial",Panel,,,,,,,,,,,,,,,,,,,"GitHub Issues, HoloViz Discourse, HoloViz Documentation",1 - Lowest priority,7 - Highest Priority,5,2,6,3,"Building custom components, Composing templates",4,1 - Never,5 - All the time,2,,,,,,,,,Very satisfied,"Better documentation, More examples in my domain",,10.0,Yes,,"Bokeh, Vega/Altair",,Yes,"PyCharm, VS Code",,3.0,
9,3,5 - Advanced,1 - Beginner,1 - Beginner,4,1 - Beginner,5 - Advanced,1 - Beginner,Word of mouth,Energy,Trading,Data Scientist,"Cluster, Personal laptop","Improve the reference API material with examples and type declarations, Redesign the appearance and story of homepages","Tabular/Columnar (Pandas, etc.)","CSV, JSON, Parquet","Blob / Object Storage, Local filesystem, Network filesystem, SQL database",TBs,"Analyze and explore data, Build and deploy models, Build and share interactive visualizations/dashboards, Gather and clean data, Report statistical results",Panel,1 - 3 years,Pandas,Pandas,"Jupyter Lab, VS Code Notebook","Exported HTML, Exported images, Externally hosted apps, Internally hosted apps, Entire notebooks, Screenshot images","Microsoft Azure, MyBinder",1.0,1 - Not Effective,3,,,2,,3,,,"I downloaded the tutorial notebooks and ran them locally, I launched the tutorial on cloud infrastructure (e.g. mybinder.org), I watched a guided talk through the tutorial",Panel,,,,,,,,,,,,,,,,,,,"GitHub Issues, HoloViz Discourse, HoloViz Documentation, HoloViz Gitter",1 - Lowest priority,5,7 - Highest Priority,2,3,4,"Building custom components, Debugging, Deploying or exporting, App responsivity, Working with other HoloViz packages",5 - All the time,1 - Never,5 - All the time,2,,,,,,,,,Neither satisfied nor dissatisfied,Performance improvements,Create a community,10.0,No thanks,,"Bokeh, DeckGL, ECharts, Plotly, Vega/Altair",,Yes,VS Code,,5.0,
